brand,car_model,datatime,datetime,desc,id,problem,status,type
东风标致,标致408,2020-06-24,,东风标致408涡轮增压器故障导致噪音大,487829,"A38,A63,A189,",处理反馈,2015款 1.2T 自动 豪华版
奇瑞汽车,瑞虎5x,2020-06-24,,奇瑞瑞虎5x油位感应异常 车身生锈,487828,"H79,H78,",处理反馈,2019款 HERO 1.5L 手动 都市版
北京现代,索纳塔八,2020-06-24,,北京现代索纳塔八中控台塑料件开裂	,487823,"H176,",信息审核,2011款 2.0 GLS领先版
北京奔驰,奔驰C级,2020-06-24,,北京奔驰C级发动机故障灯亮电子水泵损坏,487819,"A34,A191,",信息审核,2019款 C 180 L 时尚型运动版
北京奔驰,奔驰GLA,2020-06-24,,北京奔驰GLA变速箱阀体损坏厂家不解决,487817,"B84,I295,I297,K308,",信息审核,2016款 200 时尚型
北京奔驰,奔驰GLB,2020-06-24,,北京奔驰GLB发动机漏油希望厂家尽快处理,487813,"A12,",信息审核,2020款 GLB 200 时尚型
广汽丰田,凯美瑞,2020-06-24,,广汽丰田凯美瑞中控台异味出油反光,487812,"H176,",处理反馈,2010款 240G 2.4 自动 G-Book 智能领航版
东风悦达起亚,智跑,2020-06-24,,东风悦达起亚智跑启动后发动机有异响,487809,"A9,",厂家受理,2019款 2.0L 自动 智享豪华版
吉利汽车,博越,2020-06-24,,吉利博越变速箱无挡位灯与宣传不符,487808,"M279,",用户评分,2020款 1.8TD DCT 智尊PRO
东风日产,天籁,2020-06-24,,东风日产天籁仪表台开裂存在质量问题,487801,"H176,",处理反馈,2011款 2.5 XV CVT 尊雅版 公爵
上汽集团,名爵ZS,2020-06-24,,上汽名爵ZS发动机故障灯亮要求尽快解决,487800,"A34,",厂家受理,2017款 1.5L 自动 尊享互联网版
北京奔驰,奔驰GLB,2020-06-24,,北京奔驰GLB后排右侧饰板行驶中有异响,487799,"H164,J298,",信息审核,2020款 GLB 200 时尚型
北京现代,现代ix35,2020-06-24,,北京现代ix35变速箱故障4S店维修后未解决 ,487798,"B19,B334,J298,",信息审核,2019款 2.0L 自动 两驱 智勇·畅享版 国V
上汽大众,途昂,2020-06-24,,上汽大众途昂4S店售后不解决问题 态度差,487795,"I295,I293,",信息审核,2020款 380TSI 四驱 豪华版 国VI
广汽丰田,凯美瑞,2020-06-24,,广汽丰田凯美瑞发动机启停系统故障,487791,"H119,H263,",处理反馈,2019款 2.0G 豪华版 国VI
众泰汽车,云100,2020-06-24,,众泰云100行驶中熄火无法启动4S店无配件,487789,"A341,N318,O326,",信息审核,2018款 云100 PLUS 智享型
长城汽车,哈弗H2s,2020-06-24,,哈弗H2s空调无法控制行驶时车辆跑偏,487786,"A34,B334,G117,H101,H211,",处理反馈,2017款 1.5T 自动 舒适型 蓝标
东风雪铁龙,雪铁龙C4L,2020-06-24,,东风雪铁龙C4L转向间隙大导致异响,487784,"D59,D337,",处理反馈,2014款 1.8L 手动 智驱版 劲享型
广汽丰田,雷凌,2020-06-24,,广汽丰田雷凌转向异响多次维修厂家不回复,487783,"B33,B19,D59,",处理反馈,2019款 185T CVT 豪华版 国VI
吉利汽车,星越,2020-06-24,,吉利星越换挡拨片功能缺失 车机无法使用,487782,"H155,M279,",处理反馈,2019款 350T 驭星者
奇瑞汽车,捷途X95,2020-06-24,,捷途X95天窗导水槽及转向灯存在缺陷,487780,"Q322,",处理反馈,2020款 1.6T DCT 探索Pro版 7座
吉利汽车,嘉际,2020-06-24,,吉利嘉际转向机渗油 备胎出现磨损,487779,"D58,H68,",处理反馈,2019款 1.5TD MHEV DCT 耀享型
长城汽车,哈弗M6,2020-06-24,,哈弗M6行驶过程中车辆跑偏 地胶鼓包,487778,"G117,H168,",用户评分,2018款 1.5T 手动 两驱 精英型
东风标致,标致408,2020-06-24,,东风标致408喷油嘴故障导致发动机抖动,487777,"A53,",处理反馈,2016款 1.6T 自动 豪华版
众泰汽车,众泰T300,2020-06-24,,众泰T300发动机异响厂家承诺保养不兑现,487774,"A9,E43,I293,L314,",处理反馈,2019款 1.5L 手动 小强版
广汽本田,雅阁,2020-06-24,,广汽本田雅阁雨天高速行驶过程中失速,487773,"A255,",厂家受理,2018款 260TURBO 精英版 国VI
福田汽车,奥铃,2020-06-24,,福田奥铃捷运服务站服务态度差不解决问题,487770,"I295,K307,",信息审核,2007款 BJ1049V8JEA-B
奇瑞汽车,捷途X70S,2020-06-24,,捷途X70S配件质量差导致故障问题多,487768,"N317,",处理反馈,2019款 X70S 1.5T 手动 征途版 国V
广汽乘用车,传祺GS5,2020-06-24,,广汽传祺GS5换挡顿挫 前轮刹车异响,487767,"B19,E43,",处理反馈,2019款 270T 自动 精英版
一汽-大众奥迪,奥迪Q3,2020-06-24,,一汽大众奥迪Q3出现请勿超过发动机最高转速,487766,"A34,",信息审核,2016款 35 TFSI 风尚型
吉利汽车,星越,2020-06-24,,吉利星越4S店销售库存车 服务承诺不兑现,487762,"H15,L314,M283,",用户评分,2019款 350T 驭星者
上汽大众,朗逸,2020-06-24,,上汽大众朗逸变速箱机电单元损坏4S店不保修,487761,"B96,B115,I297,",信息审核,2013款 1.4TSI DSG舒适版
一汽-大众,迈腾,2020-06-24,,一汽大众迈腾行驶过程中后门天窗有异响,487760,"D59,H72,H89,",处理反馈,2020款 330TSI DSG 领先型
奇瑞汽车,艾瑞泽5,2020-06-24,,奇瑞艾瑞泽5发动机渗油售后不予质保,487759,"A12,",处理反馈,2016款 1.5L 手动 领潮版
吉利汽车,博越,2020-06-24,,吉利博越变速箱顿挫 拖挡导致共振严重,487758,"B19,B69,",处理反馈,2020款 1.8TD DCT 智尊PRO
新特汽车,SITECH DEV 1,2020-06-24,,新特SITECH DEV 1配件质量差频繁故障,487757,"H134,H101,",信息审核,2018款 创睿版
吉利汽车,嘉际,2020-06-24,,吉利嘉际购车旅游基金不兑现厂家拖延不处理,487752,"I295,L313,",处理反馈,2019款 1.5TD MHEV DCT 臻享型
吉利汽车,博越,2020-06-24,,吉利博越没有挡位灯和前雾灯与宣传不符,487747,"M279,",用户评分,2020款 1.8TD DCT 智慧PRO
北京现代,领动,2020-06-24,,北京现代领动行驶跑偏 发动机抖动,487746,"A24,G117,",信息审核,2016款 1.6L 自动 智炫·精英型
上汽集团,名爵6,2020-06-24,,上汽名爵6变速箱异响存在质量问题,487744,"B33,",信息审核,2019款 20T 自动 运动版
吉利汽车,帝豪,2020-06-24,,吉利帝豪刹车疲软 存在安全隐患,487741,"E269,",处理反馈,2017款 1.5L CVT 向上版 三厢 百万款
上汽集团,名爵6,2020-06-24,,上汽名爵6踩刹车异响4S店多次维修不保修,487740,"E43,I295,I297,J298,",用户评分,2018款 20T 自动 豪华智联版 国VI
上汽集团,名爵ZS,2020-06-24,,上汽名爵ZS发动机高温熄火厂家不回复,487739,"A191,I295,I294,",处理反馈,2019款 1.5L 手动 65寸巨幕天窗全球版 国VI
吉利汽车,帝豪,2020-06-24,,吉利帝豪发动机脚垫前摆臂横梁有维修痕迹,487736,"M283,",处理反馈,2019款 领军版 1.5L 手动 豪华型 国VI
广汽丰田,汉兰达,2020-06-24,,广汽丰田汉兰达扶手箱滑轨断裂4S店不保修,487734,"H168,I297,N317,",处理反馈,2018款 2.0T 四驱 豪华版 7座 国VI
东风标致,标致4008,2020-06-24,,东风标致4008服务站未将保养记录上传,487727,"J299,",信息审核,2017款 350THP 精英版
吉利汽车,帝豪,2020-06-24,,吉利帝豪变速箱打齿无法正常挂挡,487724,"B20,B77,",用户评分,2014款 1.5L 手动 时尚型 三厢
一汽-大众,探岳,2020-06-24,,一汽大众探岳喇叭声音发闷影响使用,487720,"H151,",用户评分,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ
一汽丰田,RAV4荣放,2020-06-24,,一汽丰田RAV4荣放尾灯自然开裂质量差,487718,"H220,I295,",信息审核,2016款 2.0L CVT 两驱 风尚版 国V
奇瑞汽车,艾瑞泽7,2020-06-24,,奇瑞艾瑞泽7车门生锈存在质量问题,487717,"H79,",处理反馈,2016款 1.6L CVT 致尚版
吉利汽车,博越,2020-06-24,,吉利博越实车无挡位显示灯与宣传不符,487712,"M279,",用户评分,2020款 1.8TD DCT 智尊PRO
沃尔沃（进口）,沃尔沃V40,2020-06-24,,进口沃尔沃V40经销商手续办理缓慢,487711,"I282,O353,",信息审核,2019款 T4 智雅版
一汽-大众奥迪,奥迪A3,2020-06-24,,一汽大众奥迪A3新车无法缴纳购置税,487710,"M284,",信息审核,2020款 Limousine 35 TFSI 运动型 国VI
广汽本田,飞度,2020-06-24,,广汽本田飞度发动机无法启动要求解决,487709,"A44,",厂家受理,2014款 1.5L CVT SE时尚型
广汽本田,飞度,2020-06-23,,广汽本田飞度邓禄普轮胎爆胎存在质量问题,487706,"F130,N316,",厂家受理,2020款 1.5L CVT 舒适天窗版
长安马自达,马自达3 昂克赛拉,2020-06-23,,长安马自达昂克赛拉中控屏开裂影响正常使用,487702,"H134,",厂家受理,2016款 1.5L 自动 豪华型 三厢
广汽丰田,凯美瑞,2020-06-23,,广汽丰田凯美瑞发动机舱内进入泥沙,487696,"Q322,",处理反馈,2019款 2.0G 豪华版 国VI
广汽丰田,雷凌,2020-06-23,,广汽丰田雷凌仪表台开裂 车内有异响,487694,"H176,H164,",处理反馈,2017款 185T CVT 精英版 国V 改款
北京现代,瑞纳,2020-06-23,,北京现代瑞纳发动机异响一直没有处理好,487692,"A9,",信息审核,2017款 1.4L 手动 焕彩版 国V
广汽本田,飞度,2020-06-23,,广汽本田飞度冷车启动发动机有异响,487691,"A9,",信息审核,2014款 1.5L CVT LX舒适型
一汽丰田,亚洲龙,2020-06-23,,一汽丰田亚洲龙行驶中天窗和车身有异响,487688,"H15,H89,",信息审核,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ
江铃汽车,驭胜S350,2020-06-23,,江铃驭胜S350质保期内车身多处有生锈的现象,487686,"H79,",信息审核,2016款 2.4T 自动 四驱 柴油 豪华版 5座
东风标致,标致408,2020-06-23,,东风标致408驾驶位与副驾驶位上方有异响,487685,"H164,",处理反馈,2019款 350THP 自动 豪华版 国V
东南汽车,V5菱致,2020-06-23,,东南V5菱致行驶过程中变速箱故障失去动力,487681,"B96,B334,",处理反馈,2014款 1.5T CVT 智控型
吉利汽车,星越,2020-06-23,,吉利星越升级GKUI19系统后依然卡顿,487680,"O348,",用户评分,2019款 350T AWD 驭星者
吉利汽车,星越,2020-06-23,,吉利星越雨刮器在工作时卡顿而且异响,487679,"H60,",处理反馈,2019款 350T 耀星者
上汽斯柯达,速派,2020-06-23,,斯柯达速派座椅开裂 材质与宣传不符,487677,"H168,H169,",信息审核,2013款 1.4T DSG 绅仕版
上汽斯柯达,速派,2020-06-23,,斯柯达速派变速箱故障灯亮机电单元损坏,487675,"B96,B77,B115,",信息审核,2016款 TSI330 DSG 创行版
长安马自达,马自达3 昂克赛拉,2020-06-23,,长安马自达昂克赛拉中控屏幕爆裂影响使用,487672,"H134,H168,",厂家受理,2016款 1.5L 手动 豪华型 三厢
东风雪铁龙,爱丽舍,2020-06-23,,东风雪铁龙爱丽舍启动后变速箱无法挂挡,487671,"B20,",处理反馈,2014款 1.6L 手动 时尚型CNG
一汽-大众奥迪,奥迪A6L,2020-06-23,,一汽大众奥迪A6L承诺多色氛围灯实际未配备,487670,"M279,",信息审核,2020款 45 TFSI quattro 臻选致雅型
福田汽车,奥铃,2020-06-23,,福田奥铃捷运启动后挂一挡发动机无动力,487669,"A163,",信息审核,2007款 BJ1049V8JEA-B
东风日产,天籁,2020-06-23,,东风日产天籁行驶时中控台存在金属摩擦声,487668,"H93,",用户评分,2019款 2.0T XL 智领版
东风本田,本田CR-V,2020-06-23,,东风本田CR-V天窗遮阳帘无法开启 换挡异响,487667,"B33,H192,",用户评分,2019款 耀目版 240TURBO CVT 两驱 舒适版 国VI
众泰汽车,众泰T500,2020-06-23,,众泰T500中控显示屏闪烁无法使用,487666,"H134,",处理反馈,2018款 1.5T 手动 尊享型 5座
长城汽车,哈弗H6 Coupe,2020-06-23,,哈弗H6 Coupe电瓶亏电充电后未解决,487662,"H146,",处理反馈,2018款 1.5T 自动 两驱 超豪型 蓝标
众泰汽车,众泰T700,2020-06-23,,众泰T700方向盘转不动希望尽快解决,487660,"D156,D291,",处理反馈,2017款 1.8T 双离合 尊贵型
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L变速箱机电单元故障,487651,"B115,",信息审核,2019款 40 TFSI 时尚型 国VI
北京现代,菲斯塔,2020-06-23,,北京现代菲斯塔4S店不兑现贴膜承诺,487647,"L313,",信息审核,2019款 280TGDi 运动版 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车机系统黑屏死机升级承诺不兑现,487645,"H155,L314,",处理反馈,2019款 260T DCT 骑士 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车门漏风 系统升级承诺不兑现,487639,"H144,L314,",处理反馈,2019款 260T DCT 游侠 运动款 国V
北汽银翔,幻速S6,2020-06-23,,北汽幻速S6发动机噪音大后视镜漆面变色,487638,"A38,H201,",信息审核,2017款 1.5T 手动 智能型
吉利汽车,吉利icon,2020-06-23,,吉利icon厂家置换补贴政策不兑现,487635,"L313,",处理反馈,2020款 300T i9 BSG
奇瑞汽车,捷途X70S,2020-06-23,,捷途X70S发动机冷却风扇固定螺丝脱落,487634,"A191,A145,H101,",用户评分,2019款 X70S 1.5T 手动 征途版 国V
一汽丰田,卡罗拉,2020-06-23,,一汽丰田卡罗拉悬架螺丝生锈存在质量问题,487625,"H79,",信息审核,2019款 1.2T S-CVT GL-i精英版
吉利汽车,缤越,2020-06-23,,吉利缤越发动机漏油希望厂家处理问题,487619,"A12,",信息审核,2019款 260T DCT 游侠 国VI
吉利汽车,嘉际,2020-06-23,,吉利嘉际漆面起泡希望厂家处理问题,487615,"H81,",用户评分,2019款 1.5TD MHEV DCT 臻享型
长安马自达,马自达CX-5,2020-06-23,,长安马自达CX-5中控屏闪屏希望厂家处理,487613,"H134,",厂家受理,2015款 2.5L 自动 四驱 旗舰型
吉利汽车,星越,2020-06-23,,吉利星越贴膜工艺差导致门窗有起泡,487612,"J303,J299,",用户评分,2019款 改款 350T 耀星者
东风悦达起亚,起亚K4,2020-06-23,,东风悦达起亚K4变速箱抖动换挡顿挫,487611,"B19,B95,",处理反馈,2017款 1.6T 自动 T-DLX Turbo
东风日产,劲客,2020-06-23,,东风日产劲客中控卡屏播放音乐断开,487609,"H134,",处理反馈,2017款 1.5L CVT 智行版
一汽-大众奥迪,奥迪A6L,2020-06-23,,一汽大众奥迪A6L节温器底座漏液,487605,"A37,",信息审核,2016款 TFSI 双离合 运动型
东风标致,标致408,2020-06-23,,东风标致408减震器异响希望得到处理,487603,"G52,",处理反馈,2016款 1.6T 自动 豪华版
广汽三菱,欧蓝德,2020-06-23,,广汽三菱欧蓝德左后方安全带无法抽出,487602,"H118,",厂家受理,2019款 2.0L 两驱 畅享版 5座 国VI
吉利汽车,博越,2020-06-23,,吉利博越漆面脱落严重影响车辆美观,487600,"H81,",处理反馈,2018款 1.8TD 自动 两驱 智联型 4G互联版
北京现代,领动,2020-06-23,,北京现代领动新车顶棚存在明显污渍,487596,"L313,M284,",信息审核,2020款 1.5L CVT 智炫·精英型
长城汽车,WEY VV5,2020-06-23,,WEY VV5流媒体重启影响正常使用,487594,"H155,",处理反馈,2020款 1.5T 两驱 智先锋
长城汽车,哈弗H2,2020-06-23,,哈弗H2颠簸时转向与左前轮异响明显,487592,"D59,G125,",处理反馈,2017款 1.5T 自动 两驱精英型 蓝标
吉利汽车,吉利GX7,2020-06-23,,吉利GX7冷车启动发动机异响升挡顿挫,487588,"A9,B19,",处理反馈,2014款 2.0L 自动 尊贵型
长安马自达,马自达3 昂克赛拉,2020-06-23,,长安马自达昂克赛拉减震器异响漏油,487587,"G52,G25,",厂家受理,2017款 1.5L 自动 豪华型 三厢 国V
一汽-大众奥迪,奥迪A4L,2020-06-23,,一汽大众奥迪A4L倍耐力轮胎鼓包,487586,"F39,",信息审核,2019款 40 TFSI 时尚型 国VI
吉利汽车,缤越,2020-06-23,,吉利缤越车机升级后没有网络信号,487585,"H155,O348,",处理反馈,2019款 260T DCT Battle 运动款 国V
